Ticker,Name,Market,Panel,Sector,Sub-Sector,Comment,Name(EN),Company Code(12),Ticker(4),Ticker(5),Ticker(12),Sector Code,Sub-Sector Code,Panel Code
خگستر,گسترش سرمایه گذاری ایران خودرو,بورس,بازار اول (تابلوی فرعی) بورس,خودرو و ساخت قطعات,قطعات یدکی و جانبی وسایل نقلیه موتوری,-,Iran Kh. Inv.,IRO1GOST0003,GOST,GOST1,IRO1GOST0001,34,3430,3
خلنت,لنت  ترمزایران,بورس,بازار دوم بورس,خودرو و ساخت قطعات,قطعات یدکی و جانبی وسایل نقلیه موتوری,-,Iran Brake L.,IRO1LENT0003,LENT,LENT1,IRO1LENT0001,34,3430,1
خمحرکه,نیرو محرکه,بورس,بازار دوم بورس,خودرو و ساخت قطعات,قطعات یدکی و جانبی وسایل نقلیه موتوری,-,Nirou Moharreke,IRO1NMOH0004,NMOH,NMOH1,IRO1NMOH0001,34,3430,3
خمحور,تولیدمحورخودرو,بورس,بازار دوم بورس,خودرو و ساخت قطعات,قطعات یدکی و جانبی وسایل نقلیه موتوری,-,VAMCO,IRO1TMKH0002,TMKH,TMKH1,IRO1TMKH0001,34,3430,1
خمهر,مهرکام پارس,بورس,بازار دوم بورس,خودرو و ساخت قطعات,قطعات یدکی و جانبی وسایل نقلیه موتوری,-,Mehrcam Pars,IRO1MHKM0009,MHKM,MHKM1,IRO1MHKM0001,34,3430,3
خموتور,موتورسازان تراکتورسازی ایران,بورس,بازار اول (تابلوی فرعی) بورس,خودرو و ساخت قطعات,تولید وسایل نقلیه موتوری,-,Motorsazan,IRO1MSTI0003,MSTI,MSTI1,IRO1MSTI0001,34,3410,3
خنصیر,مهندسی نصیرماشین,بورس,بازار اول (تابلوی فرعی) بورس,خودرو و ساخت قطعات,قطعات یدکی و جانبی وسایل نقلیه موتوری,-,Nasir Machine,IRO1MNSR0008,MNSR,MNSR1,IRO1MNSR0001,34,3430,3
خودرو,ایران  خودرو,بورس,بازار دوم بورس,خودرو و ساخت قطعات,تولید وسایل نقلیه موتوری,-,Iran Khodro,IRO1IKCO0008,IKCO,IKCO1,IRO1IKCO0001,34,3410,3
خوساز,محورسازان ایران خودرو,بورس,بازار دوم بورس,خودرو و ساخت قطعات,قطعات یدکی و جانبی وسایل نقلیه موتوری,-,Iran Kh. A. M.,IRO1MESI0000,MESI,MESI1,IRO1MESI0001,34,3430,1
دابور,داروسازی  ابوریحان,بورس,بازار دوم بورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی,-,Abouraihan P.,IRO1DABO0006,DABO,DABO1,IRO1DABO0001,43,4323,1
