Ticker,Name,Market,Panel,Sector,Sub-Sector,Comment,Name(EN),Company Code(12),Ticker(4),Ticker(5),Ticker(12),Sector Code,Sub-Sector Code,Panel Code
کالا,بورس کالای ایران,بورس,بازار اول (تابلوی اصلی) بورس,فعالیتهای کمکی به نهادهای مالی واسط,اداره ی بازارهای مالی,-,Commodity Exch.,IRO1KALA0001,KALA,KALA1,IRO1KALA0001,67,6711,1
کاما,باما,بورس,بازار دوم بورس,استخراج کانه های فلزی,استخراج کانه فلزی غیرآهن,-,Bama,IRO1BAMA0001,BAMA,BAMA1,IRO1BAMA0001,13,1320,1
کاوه,فولاد کاوه جنوب کیش,بورس,بازار اول (تابلوی اصلی) بورس,فلزات اساسی,تولید آهن و فولاد پایه,-,Kaveh Company,IRO1KVEH0008,KVEH,KVEH1,IRO1KVEH0001,27,2710,1
کبافق,معادن  بافق,بورس,بازار اول (تابلوی فرعی) بورس,استخراج کانه های فلزی,استخراج کانه فلزی غیرآهن,-,Bafgh Mining,IRO1BAFG0004,BAFG,BAFG1,IRO1BAFG0001,13,1320,3
کپارس,کاشی  پارس,بورس,بازار دوم بورس,کاشی و سرامیک,تولید گل و سرامیک ساختمانی,-,Pars Tile,IRO1KPRS0008,KPRS,KPRS1,IRO1KPRS0001,49,4993,1
کپشیر,پشم شیشه ایران,بورس,بازار اول (تابلوی اصلی) بورس,سایر محصولات کانی غیرفلزی,تولید شیشه,-,Iran Glass Wool,IRO1PSIR0002,PSIR,PSIR1,IRO1PSIR0001,54,5410,1
کترام,تولیدی  کاشی  تکسرام,بورس,بازار اول (تابلوی فرعی) بورس,کاشی و سرامیک,تولید گل و سرامیک ساختمانی,-,Takceram,IRO1TKSM0009,TKSM,TKSM1,IRO1TKSM0001,49,4993,3
کچاد,معدنی وصنعتی چادرملو,بورس,بازار اول (تابلوی اصلی) بورس,استخراج کانه های فلزی,استخراج آهن,-,Chadormalu,IRO1CHML0000,CHML,CHML1,IRO1CHML0001,13,1310,1
کحافظ,کاشی  وسرامیک  حافظ,بورس,بازار اول (تابلوی فرعی) بورس,کاشی و سرامیک,تولید گل و سرامیک ساختمانی,-,Hafez Tile,IRO1KHFZ0003,KHFZ,KHFZ1,IRO1KHFZ0001,49,4993,3
کخاک,صنایع خاک چینی ایران,بورس,بازار اول (تابلوی اصلی) بورس,سایر محصولات کانی غیرفلزی,تولید سایر محصولات معدنی غیرفلزی,-,Iran China Clay,IRO1KCHI0007,KCHI,KCHI1,IRO1KCHI0001,54,5499,1
کدما,معدنی  دماوند,بورس,بازار دوم بورس,استخراج کانه های فلزی,استخراج کانه فلزی غیرآهن,-,Damavand Min.,IRO1DMVN0009,DMVN,DMVN1,IRO1DMVN0001,13,1320,1
کرازی,کارخانجات تولیدی شیشه رازی,بورس,بازار اول (تابلوی اصلی) بورس,سایر محصولات کانی غیرفلزی,تولید شیشه,-,Razi P. Glasses,IRO1TSRZ0007,TSRZ,TSRZ1,IRO1TSRZ0001,54,5410,1
کرماشا,صنایع پتروشیمی کرمانشاه,بورس,بازار اول (تابلوی اصلی) بورس,محصولات شیمیایی,تولید کود و ترکیبات نیتروژن,-,Kermanshah Petr,IRO1PKER0004,PKER,PKER1,IRO1PKER0001,44,4412,1
