شیوه سرمایه‌گذاری,تاریخ به‌روز رسانی,درجه‌بندی عملکرد فصل,ضامن نقدشوندگی,ضریب بتا,ضریب آلفا,بازده یک ساله,قیمت آماری,قیمت ابطال,قیمت صدور, دوره تقسیم سود ,کل ارزش خالص دارایی‌ها ,نماد,نوع صندوق,نام صندوق,آدرس سایت
قابل معامله,1405/05/05,----,----,0.524844,59.57,109.57,20211,20211,20417,ندارد,1573021815965,سهامدار,در سهام,بازده سهام,baazdehsaham.ir
قابل معامله,1405/05/05,----,----,----,----,35.99,21170,21202,21216,ندارد,12687896595249,بمان,در اوراق بهادار با درآمد ثابت,بازده مانا,baazdehmanafund.ir
قابل معامله,1405/05/05,----,----,----,----,0,10551,10551,10603,ندارد,52584140092017,سیلور,در اوراق بهادار مبتنی بر سپرده کالایی,بازده نقره نوا,baazdehnoghrehnavafund.ir
قابل معامله,1405/05/05,----,----,----,----,41.23,19659,19659,19848,ندارد,10205435023744,بازبیمه,در سهام-بخشی,بخشی بازده صنایع,baazdehbakhshifund.com
قابل معامله,1405/05/05,----,----,----,----,54.28,20083,20026,20234,ندارد,3141874820293,پتروداریوش,در سهام-بخشی,بخشی داریوش,petro.dariush.fund
قابل معامله,1405/05/05,----,----,----,----,24.57,11759,11759,11882,ندارد,1915499433750,ناوگان,در سهام-بخشی,بخشی زمرد نو ویرا,nsfmf.ir
قابل معامله,1405/05/05,----,----,----,----,46.29,21160,21160,21377,ندارد,3360508664982,پناه,در سهام-بخشی,بخشی شایسته فردا,shayestefarda.ir
قابل معامله,1405/05/05,----,----,----,----,0,9902,9902,9995,ندارد,3333138591371,بانکیا,در سهام-بخشی,بخشی صنایع آروین,sectorfund.arvincapital.ir
قابل معامله,1405/04/27,----,----,----,----,0,12034,12034,12159,ندارد,6341760209693,بانکو,در سهام-بخشی,بخشی صنایع آسمان,asemansectorfund.ir
قابل معامله,1405/05/05,----,----,----,----,63.52,28234,27715,27981,ندارد,9279219314765,پتروآگاه,در سهام-بخشی,بخشی صنایع آگاه,petroagahfund.ir
قابل معامله,1405/05/05,----,----,----,----,83.01,18914,18914,19103,ندارد,2542144675161,بانکدار,در سهام-بخشی,بخشی صنایع اعتبار,etebarsectorfund.ir
قابل معامله,1405/05/05,----,----,----,----,61.21,24302,24197,24430,ندارد,10202566785754,پتروصبا,در سهام-بخشی,بخشی صنایع اندیشه صبا,sabasectorfund.sabaamc.ir
قابل معامله,1405/05/05,----,----,----,----,53.49,18782,18772,18951,ندارد,2802467721310,پتروپاداش,در سهام-بخشی,بخشی صنایع پاداش,padashsectorfund.com
قابل معامله,1405/04/27,----,----,----,----,70.464,19351,18826,19019,ندارد,14572886961665,رویین,در سهام-بخشی,بخشی صنایع سورنا,surenasectorfund.ir
قابل معامله,1405/05/05,----,----,----,----,0,22915,22890,23113,ندارد,4953903937945,لذیذ,در سهام-بخشی,بخشی صنایع سینا,sinasectorfund.ir
قابل معامله,1405/04/27,----,----,----,----,82.894,23235,22602,22832,ندارد,12487260102064,استیل,در سهام-بخشی,بخشی صنایع مفید,mofidsectorfund.com
قابل معامله,1405/05/05,----,----,----,----,22.68,13987,13987,14130,ندارد,11504374185469,بهین رو,در سهام-بخشی,بخشی صنایع ویستا,vistakhodro.ir
قابل معامله,1405/04/27,3.5,----,----,----,87.34,19873,19873,20068,ندارد,30766023583925,رسانا,در سهام-بخشی,بخشی گستره فیروزه,gostareh.fundz.ir
قابل معامله,1405/05/05,----,----,0.748355,20.42,84.42,350038,346239,349499,ندارد,2656906050567,پادا,در سهام,پاداش سرمایه پارس,padashparsfund.com
قابل معامله,1405/05/05,----,----,----,----,37.496,16857,16857,16949,----,6047069310300,شیلد,مختلط,پارس,parsfund.ir
قابل معامله,1405/05/05,----,----,----,----,30.42,10084,10198,10208,1 ماهه,39396005571427,پارند,در اوراق بهادار با درآمد ثابت,پارند پایدار سپهر,parandfund.ir
قابل معامله,1405/05/05,----,----,----,----,207.63,660662,660662,667048,ندارد,458859885423481,پالایش,در سهام-بخشی,پالایشی یکم,p1fund.ir
قابل معامله,1405/05/05,2,----,----,----,37.53,26634,26689,26709,ندارد,91377884764046,پایا,در اوراق بهادار با درآمد ثابت,پایا قلک پویا,irpsf.ir
قابل معامله,1405/05/05,----,----,0.770745,28.5,93.5,19033,19033,19235,ندارد,2466732956657,ابتکار,در سهام,پرتو ابتکار هدف,ebtekarhadaf.ir
قابل معامله,1405/05/05,----,----,----,----,155.94,1312035,1312035,1317977,ندارد,968544743446055,طلا,در اوراق بهادار مبتنی بر سپرده کالایی,پشتوانه چند کالایی پارسیان,lotusgoldfund.capital
قابل معامله,1405/05/05,----,----,----,----,152.87,792672,792672,796208,ندارد,130262851021616,زر,در اوراق بهادار مبتنی بر سپرده کالایی,پشتوانه سکه طلای زرافشان امید ایرانیان,omidgoldfund.ir
قابل معامله,1405/05/05,----,----,----,----,154.73,35942,35942,36107,ندارد,24013642251315,گلدیس,در اوراق بهادار مبتنی بر سپرده کالایی,پشتوانه طلای گلدیس نوین,goldisfund.ir
قابل معامله,1405/05/05,----,----,----,----,48.49,16194,16194,16273,ندارد,8185629032219,همیان,در اوراق بهادار مبتنی بر سپرده کالایی,پشتوانه طلای همیان سپهر,hsfund.ir
قابل معامله,1405/04/27,4,----,----,----,37.556,25110,24921,24946,ندارد,278286488217635,تداوم,در اوراق بهادار با درآمد ثابت,تداوم اطمینان تمدن,tadavomtamadon.ir
قابل معامله,1405/05/05,----,----,0.747276,12.89,76.89,33185,32370,32685,ندارد,1237131959887,ترمه,در سهام,ترمه ایساتیس پویا,termeh.isatispm.com
قابل معامله,1405/05/05,----,----,----,----,31.2,10415,10050,10071,1 ماهه,5025385656047,ترنج ثابت,در اوراق بهادار با درآمد ثابت,ترنج سودمند,toranj.fund
قابل معامله,1405/05/05,----,----,----,----,61.12,35305,35154,35420,ندارد,7358117171990,ضمان,با تضمین اصل مبلغ سرمایه گذاری,تضمین اصل سرمایه کاریزما,tazmin.charisma.ir
قابل معامله,1405/05/05,3.5,----,----,----,27.21,22702,22553,22633,ندارد,24285453790621,گارانتی,با تضمین اصل مبلغ سرمایه گذاری,تضمین اصل سرمایه گیتی دماوند,gitidamavandfund.ir
قابل معامله,1405/05/05,----,----,----,----,92.25,44561,44561,44654,ندارد,9156293195536,تمشک,صندوق در صندوق,تمشک نماد رشد,tameshk.fund
قابل معامله,1405/04/27,4,----,0.764387,32.063,90.063,117310,116788,117846,ندارد,93709939245383,اطلس,در سهام,توسعه اطلس مفید,atlasetf.com
قابل معامله,1405/05/05,2,----,----,----,35.55,26371,26520,26533,ندارد,22603341135316,رابین,در اوراق بهادار با درآمد ثابت,توسعه افق رابین,rabinetf.ir
قابل معامله,1405/05/05,----,----,----,----,36.12,11719,11821,11828,ندارد,7087033002836,نیک گستر,در اوراق بهادار با درآمد ثابت,توسعه سرمایه نیکی,nikigroup.ir
قابل معامله,1405/05/05,----,----,----,----,29.67,10058,10132,10137,1 ماهه,5015106539348,آکام,در اوراق بهادار با درآمد ثابت,ثابت آکام,akamvista.ir
قابل معامله,1405/04/27,3,----,----,----,36.895,28641,28633,28650,ندارد,490340124398123,آوند,در اوراق بهادار با درآمد ثابت,ثابت آوند مفید,avandetf.ir
قابل معامله,1405/04/27,----,----,----,----,32.861,31994,32082,32099,ندارد,43813326075102,مانی,در اوراق بهادار با درآمد ثابت,ثابت مانی,manifunds.ir
قابل معامله,1405/05/05,4.5,----,----,----,37.88,35751,35767,35783,ندارد,248519256963080,ثبات,در اوراق بهادار با درآمد ثابت,ثبات ویستا,sobatvista.ir
قابل معامله,1405/05/05,5,----,0.743685,37.59,100.59,437837,432747,436893,ندارد,38367355144926,ثروتم,در سهام,ثروت آفرین پارسیان,sap-fund.com
قابل معامله,1405/05/05,----,----,0.736041,36.26,99.26,60531,60330,60892,ندارد,11251306380761,ثمین,در سهام,ثروت افزون ثمین,saminfund.ir
قابل معامله,1405/05/05,2,----,----,----,36.7,23856,23893,23911,ندارد,41544500590466,فاخر,در اوراق بهادار با درآمد ثابت,ثروت افزون فاخر,fakherfund.ir
قابل معامله,1405/05/05,----,----,0.432258,35.83,79.83,25014,24907,25141,ندارد,216729269391,رخش,در سهام,ثروت البرز,servatalborz.ir
قابل معامله,1405/05/05,----,----,0.834741,15.96,84.96,35874,35874,36258,ندارد,16243886466883,داریوش,در سهام,ثروت داریوش,servat.dariush.fund
قابل معامله,1405/05/05,----,----,0.851977,19.96,89.96,38694,38195,38590,ندارد,4181684893282,هیوا,در سهام,ثروت هیوا,hiwafund.ir
قابل معامله,1405/05/05,----,----,0.820768,0.407945,0,12946,12745,12873,ندارد,2549153454128,جام سهند,در سهام,جام سبز سهند,jamsabzsahand.ir
قابل معامله,1405/05/05,----,----,----,----,0,16585,16585,16664,----,56414399430881,جام,در اوراق بهادار مبتنی بر سپرده کالایی,جام- صندوق کالای فارابی 2-بخشی,energy.irfarabi.ir
